Aircraft,Reg,Cockpit,Cabin,Pantry,WaterPercent,BasicWeight,DOI
A321-231,TC-JRA,2,2,S,25,49724,35.2
A321-231,TC-JRA,2,2,D,25,49608,33.5
A321-231,TC-JRA,2,2,F,25,49044,31.0
A321-231,TC-JRA,2,4,L,25,50448,40.7
A321-231,TC-JRA,2,4,M,25,50175,39.0
A321-231,TC-JRA,2,4,S,25,49874,34.9
A321-231,TC-JRA,2,4,D,25,49758,33.2
A321-231,TC-JRA,2,4,F,25,49194,30.7
A321-231,TC-JRA,2,5,L,25,50523,41.8
A321-231,TC-JRA,2,5,M,25,50250,40.1
A321-231,TC-JRA,2,5,S,25,49949,36.0
A321-231,TC-JRA,2,5,D,25,49833,34.3
A321-231,TC-JRA,2,5,F,25,49269,31.8
A321-231,TC-JRA,2,6,L,25,50598,40.6
A321-231,TC-JRA,2,6,M,25,50325,38.9
A321-231,TC-JRA,2,6,S,25,50024,34.8
A321-231,TC-JRA,2,6,D,25,49908,33.1
A321-231,TC-JRA,2,6,F,25,49344,30.6
A321-231,TC-JRA,2,7,L,25,50673,41.8
A321-231,TC-JRA,2,7,M,25,50400,40.1
A321-231,TC-JRA,2,7,S,25,50099,36.0
A321-231,TC-JRA,2,7,D,25,49983,34.3
A321-231,TC-JRA,2,7,F,25,49419,31.8
A321-231,TC-JRA,2,8,L,25,50748,43.0
A321-231,TC-JRA,2,8,M,25,50475,41.3
A321-231,TC-JRA,2,8,S,25,50174,37.2
A321-231,TC-JRA,2,8,D,25,50058,35.5
A321-231,TC-JRA,2,8,F,25,49494,33.0
A321-231,TC-JRA,3,0,L,25,50233,39.5
A321-231,TC-JRA,3,0,M,25,49960,37.8
A321-231,TC-JRA,3,0,S,25,49659,33.7
A321-231,TC-JRA,3,0,D,25,49543,32.0
A321-231,TC-JRA,3,0,F,25,48979,29.5
A321-231,TC-JRA,3,1,L,25,50308,38.3
A321-231,TC-JRA,3,1,M,25,50035,36.6
A321-231,TC-JRA,3,1,S,25,49734,32.5
A321-231,TC-JRA,3,1,D,25,49618,30.8
A321-231,TC-JRA,3,1,F,25,49054,28.3
A321-231,TC-JRA,3,2,L,25,50383,39.5
A321-231,TC-JRA,3,2,M,25,50110,37.8
A321-231,TC-JRA,3,2,S,25,49809,33.7
A321-231,TC-JRA,3,2,D,25,49693,32.0
A321-231,TC-JRA,3,2,F,25,49129,29.5
A321-231,TC-JRA,3,4,L,25,50533,39.2
A321-231,TC-JRA,3,4,M,25,50260,37.5
A321-231,TC-JRA,3,4,S,25,49959,33.4
A321-231,TC-JRA,3,4,D,25,49843,31.7
A321-231,TC-JRA,3,4,F,25,49279,29.2
A321-231,TC-JRA,3,5,L,25,50608,40.3
A321-231,TC-JRA,3,5,M,25,50335,38.6
A321-231,TC-JRA,3,5,S,25,50034,34.5
A321-231,TC-JRA,3,5,D,25,49918,32.8
A321-231,TC-JRA,3,5,F,25,49354,30.3
A321-231,TC-JRA,3,6,L,25,50683,39.1
A321-231,TC-JRA,3,6,M,25,50410,37.4
A321-231,TC-JRA,3,6,S,25,50109,33.3
A321-231,TC-JRA,3,6,D,25,49993,31.6
A321-231,TC-JRA,3,6,F,25,49429,29.1
A321-231,TC-JRA,3,7,L,25,50758,40.3
A321-231,TC-JRA,3,7,M,25,50485,38.6
A321-231,TC-JRA,3,7,S,25,50184,34.5
A321-231,TC-JRA,3,7,D,25,50068,32.8
A321-231,TC-JRA,3,7,F,25,49504,30.3
A321-231,TC-JRA,3,8,L,25,50833,41.5
A321-231,TC-JRA,3,8,M,25,50560,39.8
A321-231,TC-JRA,3,8,S,25,50259,35.7
A321-231,TC-JRA,3,8,D,25,50143,34.0
A321-231,TC-JRA,3,8,F,25,49579,31.5
